annee,sexe,nombre
1921,1,3485
1921,2,16426
1922,1,4902
1922,2,22952
1923,1,7785
1923,2,31021
1924,1,11542
1924,2,40894
1925,1,16299
1925,2,53104
1926,1,21463
1926,2,66787
1927,1,28807
1927,2,80030
1928,1,37496
1928,2,97331
1929,1,46929
1929,2,111783
1930,1,61563
1930,2,136535
1931,1,72755
1931,2,149591
1932,1,86403
1932,2,167452
1933,1,95657
1933,2,173354
1934,1,110690
1934,2,190351
1935,1,118873
1935,2,195932
1936,1,134285
1936,2,206868
1937,1,143091
1937,2,212217
1938,1,154409
1938,2,219560
1939,1,164398
1939,2,228181
1940,1,164274
1940,2,219696
1941,1,163831
1941,2,212857
1942,1,189855
1942,2,240655
1943,1,210217
1943,2,261401
1944,1,220666
1944,2,270291
1945,1,228713
1945,2,278414
1946,1,310618
1946,2,368656
1947,1,334915
1947,2,391035
1948,1,346176
1948,2,401141
1949,1,350027
1949,2,404550
1950,1,360825
1950,2,412366
1951,1,351276
1951,2,400476
1952,1,362296
1952,2,412799
1953,1,360414
1953,2,408098
1954,1,369693
1954,2,416459
1955,1,372761
1955,2,420762
1956,1,379975
1956,2,424039
1957,1,386533
1957,2,425959
1958,1,390717
1958,2,429419
1959,1,403449
1959,2,437560
1960,1,407825
1960,2,440217
1961,1,413981
1961,2,441460
1962,1,415611
1962,2,441008
1963,1,430619
1963,2,455743
1964,1,438181
1964,2,461181
1965,1,436774
1965,2,455618
1966,1,436858
1966,2,454568
1967,1,427886
1967,2,443386
1968,1,429244
1968,2,446218
1969,1,437073
1969,2,449203
1970,1,444450
1970,2,455100
1971,1,455673
1971,2,464223
1972,1,457352
1972,2,466971
1973,1,446349
1973,2,459764
1974,1,426102
1974,2,435628
1975,1,405757
1975,2,415014
1976,1,391122
1976,2,404227
1977,1,402178
1977,2,414175
1978,1,399663
1978,2,414121
1979,1,407539
1979,2,425855
1980,1,429865
1980,2,451195
1981,1,425310
1981,2,446649
1982,1,421454
1982,2,443929
1983,1,396517
1983,2,421261
1984,1,400319
1984,2,425655
1985,1,402370
1985,2,430091
1986,1,402781
1986,2,430196
1987,1,396541
1987,2,421858
1988,1,396313
1988,2,419357
1989,1,390057
1989,2,412731
1990,1,390980
1990,2,405278
1991,1,381517
1991,2,393427
1992,1,372831
1992,2,384079
1993,1,355675
1993,2,363901
1994,1,353573
1994,2,361493
1995,1,365478
1995,2,367043
1996,1,370000
1996,2,369197
1997,1,369733
1997,2,363229
1998,1,385239
1998,2,373408
1999,1,394554
1999,2,376606
2000,1,424090
2000,2,400978
2001,1,423936
2001,2,400085
2002,1,423183
2002,2,400573
2003,1,425876
2003,2,404574
2004,1,430748
2004,2,408423
2005,1,432730
2005,2,410987
2006,1,439177
2006,2,419967
2007,1,431859
2007,2,412585
2008,1,437249
2008,2,416483
2009,1,432418
2009,2,413661
2010,1,436984
2010,2,420428
2011,1,426310
2011,2,410316
2012,1,425344
2012,2,405017
2013,1,415669
2013,2,398058
2014,1,409367
2014,2,396929
2015,1,399454
2015,2,382943
2016,1,388504
2016,2,373134
2017,1,377277
2017,2,363828
2018,1,369603
2018,2,353986
2019,1,363956
2019,2,350629
2020,1,352818
2020,2,338936
