E100,Curcumines,1
E100i,Curcumine,1
E100ii,Curcuma (Turmérique),1
E101,Riboflavine (vitamine B2),1
E101a,Riboflavine,1
E101i,Vitamine B2,1
E101ii,5'-phosphate sodique de riboflavine,1
E101iii,Riboflavine de Bacillus subtilis,1
E102,Acid Yellow 23,1
E103,Chrysoïne S,1
E104,Jaune de quinoléine (Yellow T),1
E107,Jaune 2G,1
E110,Sunset yellow FCF,1
E111,Orange CGN,1
E120,Crimson Lake,1
E121,Orseille orcéine,1
E122,Food Red 3,1
E123,C.I. Food Red 9,1
E124,Rouge cochenille A,1
E125,Ponceau SX,1
E126,Ponceau 6R,1
E127,Erythrosine,1
E128,Red 2G,1
E129,Rouge allura AC,1
E130,Bleu anthraquinonique,1
E131,Food Blue 5,1
E132,Carmine d'indigo,1
E133,Xylene Blue VSG,1
E140,Chlorophylline,1
E141,Complexes cuivre-chlorophylles,1
E141i,Complexes cupriques de chlorophylles,1
E141ii,Sels de sodium et de potassium de complexes cupriques de chlorophyllines,1
E142,Vert S,1
E143,Vert solide FCF,1
E150a,Caramel I - simple,1
E150b,Caramel II - procédé au sulfite caustique,1
E150c,Caramel ammoniac,1
E150d,Caramel au sulfite d'ammonium,1
E151,Naphthol Black,1
E152,Noir de carbone,1
E153,Charbon végétal,1
E154,Brun FK,1
E155,Chocolate Brown HT,1
E160a,Gamma-carotènes,1
E160ai,Bêta-carotènes de synthèse,1
E160aii,Bêta-carotènes de légumes,1
E160aiii,Bêta-carotènes de Blakeslea trispora,1
E160aiv,Bêta-carotènes d'algues,1
E160b,Roccou,1
E160bi,Extraits d'annato à base de bixine,1
E160bii,Extraits d'annato à base de norbixine,1
E160c,Paprika,1
E160d,Lycopène,1
E160di,Lycopène de synthèse,1
E160dii,Lycopène de tomate,1
E160diii,Lycopène de Blakeslea trispora,1
E160e,C30-Apocaroténal-8,1
E160f,Ester éthylique de l'acide C30-apocaroténique-8,1
E161,Canthaxanthin,1
E161a,Flavoxanthine,1
E161b,Lutéines,1
E161bi,Lutéines de Tagetes erecta,1
E161bii,Extraits de tagetes,1
E161c,Cryptoxanthine,1
E161d,Rubixanthine,1
E161e,Violaxanthine,1
E161f,Rhodoxanthine,1
E161g,Canthaxanthine,1
E161h,Zéaxanthines,1
E161hi,Zéaxanthine de synthèse,1
E161hii,Zéaxanthine riche en extrait de Tagetes erecta,1
E161i,Citranaxanthin,1
E161j,Astaxanthin,1
E162,Rouge de betterave,1
E163,Anthocyanins,1
E163ii,Extrait de peau de raisin,1
E163iii,Extrait de cassis,1
E163iv,Colorant du maïs pourpre,1
E163v,Colorant du chou rouge,1
E164,Jaune de gardénia,1
