airportid,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,tz,type,source
11740,Vrsar Crljenka Airport,Vsar,Croatia,,LDPV,45.141700744628906,13.630599975585938,121,1,E,\N,airport,OurAirports
11292,Kahemba Airport,Kahemba,Congo,,FZCF,-7.333000183105469,19.017000198364258,3425,1,U,\N,airport,OurAirports
11787,Zerbst Airport,Zerbst/Anhalt,Germany,,EDUZ,52.000831604003906,12.148611068725586,289,\N,\N,\N,airport,OurAirports
11791,Cewice Military Airport,Lębork,Poland,,EPCE,54.416000366199995,17.763299942000000,495,\N,\N,\N,airport,OurAirports
11792,Deblin Military Air Base,Dęblin,Poland,,EPDE,51.551399231000000,21.893600463900000,392,\N,\N,\N,airport,OurAirports
11793,Leczyca Military Air Base,Leczyca,Poland,,EPLY,52.004699707000000,19.145599365200000,377,\N,\N,\N,airport,OurAirports
11794,Minsk Mazowiecki Military Air Base,"",Poland,,EPMM,52.195499420200000,21.655899047900000,604,\N,\N,\N,airport,OurAirports
11795,Powidz Military Air Base,"",Poland,,EPPW,52.379398345900000,17.853900909400000,371,\N,\N,\N,airport,OurAirports
11796,Tomaszow Mazowiecki Military Air Base,Tomaszów Mazowiecki,Poland,,EPTM,51.584400177000000,20.097799301100000,571,\N,\N,\N,airport,OurAirports
11797,Björkvik Air Base,Björkvik,Sweden,,ESKX,58.790798187255860,16.571199417114258,0,\N,\N,\N,airport,OurAirports
11798,Ljungbyhed Airport,Ljungbyhed,Sweden,,ESTL,56.082801818847656,13.212499618530273,140,\N,\N,\N,airport,OurAirports
11884,Biella-Cerrione Airport,Biella (BI),Italy,,LILE,45.495300000000000,8.102780000000000,920,\N,\N,\N,airport,OurAirports
11885,Vercelli Airport,Vercelli,Italy,,LILI,45.310233000000000,8.417935000000000,417,\N,\N,\N,airport,OurAirports
11886,Casale Monferrato Airport,Casale Monferrato,Italy,,LILM,45.111198000000000,8.456030000000000,377,\N,\N,\N,airport,OurAirports
11887,Varese-Venegono Airport,Varese,Italy,,LILN,45.742199000000000,8.888230000000000,1050,\N,\N,\N,airport,OurAirports
11888,Novi Ligure Airport,Novi Ligure,Italy,,LIMR,44.779999000000000,8.786390000000000,607,\N,\N,\N,airport,OurAirports
