id_date,id_frequence,qte
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,0
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,0
48,3,0
49,3,0
50,3,0
3,2,1
4,2,0
5,2,1
6,2,0
7,2,0
8,2,1
9,2,0
10,2,1
11,2,0
12,2,1
13,2,0
14,2,1
15,2,0
16,2,1
17,2,0
18,2,1
19,2,0
20,2,1
21,2,0
22,2,1
23,2,0
24,2,1
25,2,0
26,2,1
27,2,0
28,2,1
29,2,0
30,2,1
31,2,0
32,2,1
33,2,0
34,2,1
35,2,0
36,2,1
37,2,0
38,2,1
39,2,0
40,2,1
41,2,0
42,2,1
43,2,0
44,2,1
45,2,0
46,2,1
47,2,0
48,2,1
49,2,0
50,2,1
