id,id_jardin,nom,adresse,capacite
1,2,IUT de Saint Dié des Vosges,1,20
2,1,Salle des fêtes de St Michel,2,20
3,1,Salle polyvalente d'Étival Clairefontaine,3,20
4,1,La Halle aux Blés,4,20
5,1,Collège de Baccarat,5,20
6,1,Village du livre,6,20
7,1,Lycée d'horticulture,7,20
8,1,Emmaüs Rambervillers,8,20
9,1,Four Grand-Mère,9,20
10,1,Fraispertuis City,10,20
11,1,Le Gaming 88,11,20
12,1,Lycée Georges Baumont,12,20
13,1,Nouvelle Salaison des Hautes-Vosges,13,20
14,1,Brasserie de l'Abbaye,14,20
15,1,Château des princes de Salm,15,20
16,1,Château de Belval,16,20
17,1,Boulangerie Claulin,17,20
18,1,Hôtel Restaurant Julien,18,20
19,1,Biscuiterie du Col de Saales,19,20
20,1,CC de la Fave,20,20
21,1,Association Elan,21,20
22,1,Salle Multi-activités,22,20
23,1,INSIC,23,20
24,1,Salle Polyvalente,24,20
25,1,Le Domaine des Bans,25,20
26,1,Lycée Hôtellier,26,20
27,1,Fromagerie Gérard,27,20
28,1,Boucherie de la Place,28,20
29,1,AFPA Remiremont,29,20
30,1,Cabaret Bellecour,30,20
31,1,Le Foyer,31,20
32,1,Hôpital de Bruyères,32,20
33,1,Restaurant les Myrtilles,33,20
34,1,IFSI,34,20
35,1,Mairie de Neuvillers,35,20
36,1,Mairie Ban de Laveline,36,20
37,1,Centre d'Animation Municipal,37,20
38,1,Musée des Eaux de Vie,38,20
39,1,Evergreen Tomatoes,39,20
40,1,Hôtel au Tilleul,40,20
41,1,Office du Tourisme de Munster,41,20
42,1,Centre les Jonquilles,42,20
43,1,Gîte le Vic,43,20
44,1,Moulin Clefcy,44,20
45,1,Le grenier de Papy,45,20
46,1,Salle des fêtes de Saulcy,46,20
47,1,Lycée professionnel Notre-Dame de la Providence,47,20
48,1,Foyer rural,48,20
49,1,Fromagerie Gourmand’Art,49,20
50,1,Maison rurale Saulxures,50,20
51,1,Café Canton,51,20
52,1,ENSTIB,52,20
53,1,Assotiation AMI,53,20
54,1,Moustache Bikes,54,20
55,1,Moulin de Nomexy,55,20
56,1,Maison du Livre,56,20
57,1,Centre culturel,57,20
58,1,Mairie de Gerbéviller,58,20
59,1,Mairie de Badonviller,59,20
60,1,Hôtel des lacs,60,20
61,1,La chèvre vagabonde,61,20
62,1,Resto du coeur,62,20
63,1,Les jardins de Callunes,63,20
64,1,Mairie d'Hurbache,64,20
65,2,Eglise Saint Antoine,65,20
66,2,Ligue de l’enseignement,66,20
67,2,Centre Léo LaGrange,67,20
68,2,APF - Local extérieur – ESAT,68,20
69,2,Ecodenn’ergie,69,20
70,2,Botanic,70,20
71,2,Chambre d’Agriculture,71,20
72,2,Pharmacie Robert,72,20
73,2,Association AGACI,73,20
74,2,Office du tourisme,74,20
75,2,Raon aux Bois,75,20
76,2,Mr et Mme Boulassel,76,20
77,2,Jardins de Cocagne,77,20
78,2,Madame Pierot,78,20
79,2,3ème Rive Café Associatif,79,20
80,2,Point Vert Mafra,80,20
81,2,Brico Marché,81,20
82,2,Pro et Cie,82,20
83,2,M. Lecomte François,83,20
84,2,Maison de l'Étudiant,84,20
