id,id_jardin,id_abonnement,id_distribution,qte,livre,semaine,id_exercice
101369,2,22475,12,1,0,2,2
101370,2,22475,12,1,0,1,2
101371,2,22554,12,1,0,10,2
101372,2,22783,12,1,0,34,2
101373,2,22784,12,1,0,34,2
101374,2,22938,40,1,0,50,2
101375,2,22436,44,1,0,1,2
101376,2,21756,47,1,0,9,2
101377,2,21756,47,1,0,11,2
101378,2,21756,47,1,0,14,2
101379,2,21756,47,1,0,16,2
101380,2,21756,47,1,0,18,2
101381,2,21756,47,1,0,20,2
101382,2,21756,47,1,0,22,2
101383,2,21756,47,1,0,24,2
101384,2,21756,47,1,0,27,2
101385,2,21756,47,1,0,29,2
101386,2,21756,47,1,0,31,2
101387,2,21756,47,1,0,33,2
101388,2,21756,47,1,0,35,2
101389,2,21756,47,1,0,37,2
101390,2,21756,47,1,0,39,2
101391,2,21756,47,1,0,41,2
101392,2,21756,47,1,0,43,2
101393,2,21756,47,1,0,45,2
101394,2,21756,47,1,0,47,2
101395,2,21756,47,1,0,49,2
101396,2,21756,47,1,0,50,2
101397,2,21786,76,1,0,6,2
101398,2,21181,76,1,0,1,2
101399,2,22148,76,1,0,1,2
101400,2,22239,76,1,0,1,2
101401,2,22347,76,1,0,1,2
101402,2,22556,80,1,0,9,2
101403,2,22437,82,1,0,1,2
101404,2,22466,94,1,0,2,2
101405,2,22466,94,1,0,1,2
101406,2,22587,99,1,0,35,2
101407,2,22587,99,1,0,36,2
101408,2,22587,99,1,0,37,2
101409,2,22587,99,1,0,38,2
101410,2,22587,99,1,0,39,2
101411,2,22587,99,1,0,40,2
101412,2,22587,99,1,0,41,2
101413,2,22587,99,1,0,42,2
101414,2,22587,99,1,0,43,2
101415,2,22587,99,1,0,44,2
101416,2,22587,99,1,0,45,2
101417,2,22587,99,1,0,46,2
101418,2,22587,99,1,0,47,2
101419,2,22587,99,1,0,48,2
101420,2,22587,99,1,0,49,2
101421,2,22587,99,1,0,50,2
101422,2,22631,99,1,0,21,2
101423,2,22632,99,1,0,35,2
101424,2,22632,99,1,0,36,2
101425,2,22632,99,1,0,37,2
101426,2,22632,99,1,0,38,2
101427,2,22632,99,1,0,39,2
101428,2,22632,99,1,0,40,2
101429,2,22632,99,1,0,41,2
101430,2,22632,99,1,0,42,2
101431,2,22632,99,1,0,43,2
101432,2,22632,99,1,0,44,2
101433,2,22632,99,1,0,45,2
101434,2,22632,99,1,0,46,2
101435,2,22632,99,1,0,47,2
101436,2,22632,99,1,0,48,2
101437,2,22632,99,1,0,49,2
101438,2,22632,99,1,0,50,2
101439,2,23009,1,1,0,46,5
101440,2,23009,1,1,0,47,5
101441,2,23009,1,1,0,48,5
101442,2,23009,1,1,0,49,5
101443,2,23009,1,1,0,50,5
101444,2,23016,1,1,0,44,5
101445,2,23016,1,1,0,45,5
101446,2,23016,1,1,0,46,5
101447,2,23169,1,1,0,44,5
101448,2,23169,1,1,0,45,5
101449,2,23169,1,1,0,46,5
101450,2,23169,1,1,0,47,5
101451,2,23169,1,1,0,48,5
101452,2,23169,1,1,0,49,5
101453,2,23169,1,1,0,50,5
101454,2,23196,1,1,0,47,5
101455,2,23196,1,1,0,48,5
101456,2,23196,1,1,0,49,5
101457,2,23196,1,1,0,50,5
101458,2,23240,1,1,0,44,5
101459,2,23240,1,1,0,45,5
101460,2,23240,1,1,0,46,5
101461,2,23240,1,1,0,47,5
101462,2,23240,1,1,0,48,5
101463,2,23240,1,1,0,49,5
101464,2,23240,1,1,0,50,5
101465,2,23255,1,1,0,44,5
101466,2,23255,1,1,0,45,5
101467,2,23255,1,1,0,46,5
101468,2,23255,1,1,0,47,5
