id,id_tournee,id_depot,ordre
2,1,84,2
1,1,70,1
6,1,67,9
7,2,77,1
8,3,67,1
9,3,71,2
10,3,65,3
11,3,66,4
65,22,37,4
66,22,38,5
67,22,39,7
13,1,97,3
12,1,96,4
3,1,65,5
68,22,40,8
4,1,68,6
14,1,98,8
5,1,66,7
15,1,104,10
16,19,1,1
17,19,2,2
18,19,3,3
19,19,4,4
20,19,5,5
21,19,6,6
22,19,7,7
23,19,8,8
24,19,9,9
25,19,10,10
26,19,11,11
27,20,12,1
28,20,13,2
29,20,14,3
30,20,15,4
31,20,16,5
32,20,17,6
33,20,18,7
34,20,19,8
35,20,20,9
36,20,21,10
37,20,22,11
38,3,98,5
39,3,105,6
40,3,106,8
41,3,99,9
42,4,70,1
43,4,72,2
44,4,73,2
45,4,103,4
46,4,74,5
69,22,41,9
49,4,76,8
50,4,109,9
47,4,107,6
48,4,108,7
51,21,23,1
52,21,24,2
53,21,25,3
54,21,26,4
55,21,27,5
56,21,28,6
57,21,29,7
58,21,30,8
59,21,31,9
60,21,32,10
61,21,33,11
62,22,34,1
63,22,35,2
70,22,42,10
82,9,65,2
83,9,102,3
84,9,100,4
85,9,66,5
86,9,111,6
64,22,36,3
71,22,43,11
72,22,44,12
73,22,45,13
74,22,46,14
75,23,47,1
87,9,79,7
88,9,106,8
76,6,77,1
78,8,78,1
79,8,95,2
80,9,98,1
95,10,83,4
96,5,101,1
77,5,110,2
89,9,67,9
90,9,70,10
91,9,85,11
92,10,81,1
97,11,96,1
93,10,82,3
94,10,80,2
98,11,77,2
99,7,35,1
100,12,86,1
81,1,1,0
103,23,50,4
101,23,48,2
102,23,49,3
104,23,51,5
105,23,52,6
106,23,53,7
107,23,54,8
108,13,87,1
109,13,88,2
110,13,89,3
112,13,90,4
111,13,91,5
115,13,92,6
114,13,93,7
113,13,94,8
116,14,112,1
117,14,113,2
118,14,114,3
119,14,115,4
120,14,116,5
121,14,117,6
122,14,118,7
123,14,119,8
124,14,120,9
125,14,121,10
126,14,122,11
127,14,123,12
128,15,124,1
129,15,125,2
130,15,126,3
131,15,127,4
132,15,128,5
133,16,129,1
134,16,130,2
135,16,131,3
136,16,132,4
137,16,133,5
138,16,134,6
139,16,135,7
140,16,136,8
141,16,137,9
142,16,138,10
143,16,139,11
144,16,140,12
145,16,141,13
146,16,142,14
147,16,143,15
148,16,144,16
149,16,145,17
150,16,146,18
151,16,147,19
152,16,148,20
153,16,149,21
154,17,150,1
155,17,151,2
156,17,152,3
157,17,153,4
158,17,154,5
159,17,155,6
160,17,156,7
161,17,157,8
162,18,158,1
163,18,159,2
164,18,160,3
165,18,161,4
166,18,162,5
167,18,163,6
168,18,164,7
